 #m    e    m2    e2    
 -0.3300     -1.1500      0.1089      1.3225
 -0.8500     -1.5200      0.7225      2.3104
 -0.4300     -1.1500      0.1849      1.3225
 -0.8750     -1.6100      0.7656      2.5921
 -0.3300     -1.3000      0.1089      1.6900
 -0.7100     -1.4400      0.5041      2.0736
 -0.8400     -1.6200      0.7056      2.6244
 -0.6650     -1.4200      0.4422      2.0164
 -0.2700     -1.3000      0.0729      1.6900
 -0.9200     -1.7400      0.8464      3.0276
 -0.5300     -1.2800      0.2809      1.6384
  0.3700     -1.1400      0.1369      1.2996
  0.7050     -1.3900      0.4970      1.9321
  0.8650     -1.5800      0.7482      2.4964
  0.6250     -1.3800      0.3906      1.9044
  0.6900     -1.4600      0.4761      2.1316
  0.8750     -1.6700      0.7656      2.7889
  0.7850     -1.4300      0.6162      2.0449
 -0.5700     -1.4500      0.3249      2.1025
 -0.8950     -1.7500      0.8010      3.0625
 -0.9200     -1.7200      0.8464      2.9584
 -0.3950     -1.3500      0.1560      1.8225
 -0.5250     -1.2500      0.2756      1.5625
 -0.7150     -1.4300      0.5112      2.0449
 -0.7800     -1.5100      0.6084      2.2801
  0.7000     -1.4400      0.4900      2.0736
  0.8200     -1.5500      0.6724      2.4025
  0.6000     -1.4400      0.3600      2.0736
  0.6250     -1.2600      0.3906      1.5876
  0.5450     -1.3000      0.2970      1.6900
  0.8300     -1.6000      0.6889      2.5600
 -0.7700     -1.5200      0.5929      2.3104
 -0.8100     -1.4600      0.6561      2.1316
 -0.8300     -1.5100      0.6889      2.2801
 -0.5900     -1.1800      0.3481      1.3924
 -0.6100     -1.3100      0.3721      1.7161
 -0.9150     -1.7200      0.8372      2.9584
 -0.8100     -1.5500      0.6561      2.4025
 -0.5950     -1.2900      0.3540      1.6641
  0.7250     -1.3100      0.5256      1.7161
  0.7850     -1.4400      0.6162      2.0736
  0.8450     -1.6000      0.7140      2.5600
  0.7550     -1.3600      0.5700      1.8496
 -0.7800     -1.5300      0.6084      2.3409
 -0.7600     -1.5300      0.5776      2.3409
 -0.5950     -1.2500      0.3540      1.5625
 -0.6250     -1.3100      0.3906      1.7161
 -0.8750     -1.6500      0.7656      2.7225
 -0.6150     -1.3400      0.3782      1.7956
 -0.8250     -1.5000      0.6806      2.2500
 -0.4850     -1.3100      0.2352      1.7161
 -0.7450     -1.4700      0.5550      2.1609
  0.8600     -1.6300      0.7396      2.6569
  0.8200     -1.5600      0.6724      2.4336
  0.5300     -1.3500      0.2809      1.8225
  0.6200     -1.4600      0.3844      2.1316
  0.8150     -1.5100      0.6642      2.2801
  0.3200     -1.2400      0.1024      1.5376
  0.7300     -1.4900      0.5329      2.2201
  0.8900     -1.6700      0.7921      2.7889
  0.4450     -1.3300      0.1980      1.7689
  0.2400     -1.2000      0.0576      1.4400
  0.5950     -1.2700      0.3540      1.6129
  0.5750     -1.4100      0.3306      1.9881
