 #   corr_m    corr_e   u_corr
0.5778    2.1325           0
0.5739    2.1318           1
0.5700    2.1311           2
0.5661    2.1304           3
0.5621    2.1297           4
0.5582    2.1290           5
0.5543    2.1283           6
0.5504    2.1277           7
0.5465    2.1270           8
0.5426    2.1263           9
0.5387    2.1256          10
0.5348    2.1249          11
0.5308    2.1242          12
0.5269    2.1235          13
0.5230    2.1228          14
0.5191    2.1221          15
0.5152    2.1214          16
0.5113    2.1207          17
0.5074    2.1200          18
0.5034    2.1193          19
0.4995    2.1186          20
0.4956    2.1179          21
0.4917    2.1173          22
0.4878    2.1166          23
0.4839    2.1159          24
0.4800    2.1152          25
0.4760    2.1145          26
0.4721    2.1138          27
0.4682    2.1131          28
0.4643    2.1124          29
0.4604    2.1117          30
0.4565    2.1110          31
0.4526    2.1103          32
0.4486    2.1096          33
0.4447    2.1089          34
0.4408    2.1082          35
0.4369    2.1075          36
0.4330    2.1068          37
0.4291    2.1062          38
0.4252    2.1055          39
0.4212    2.1048          40
0.4173    2.1041          41
0.4134    2.1034          42
0.4095    2.1027          43
0.4056    2.1020          44
0.4017    2.1013          45
0.3977    2.1006          46
0.3938    2.0999          47
0.3899    2.0992          48
0.3860    2.0985          49
0.3821    2.0978          50
0.3782    2.0971          51
0.3742    2.0964          52
0.3703    2.0957          53
0.3664    2.0951          54
0.3625    2.0944          55
0.3586    2.0937          56
0.3547    2.0930          57
0.3507    2.0923          58
0.3468    2.0916          59
0.3429    2.0909          60
0.3390    2.0902          61
0.3351    2.0895          62
0.3312    2.0888          63
0.3272    2.0881          64
0.3233    2.0874          65
0.3194    2.0867          66
0.3155    2.0860          67
0.3116    2.0853          68
0.3076    2.0846          69
0.3037    2.0839          70
0.2998    2.0832          71
0.2959    2.0826          72
0.2920    2.0819          73
0.2881    2.0812          74
0.2841    2.0805          75
0.2802    2.0798          76
0.2763    2.0791          77
0.2724    2.0784          78
0.2685    2.0777          79
0.2645    2.0770          80
0.2606    2.0763          81
0.2567    2.0756          82
0.2528    2.0749          83
0.2489    2.0742          84
0.2449    2.0735          85
0.2410    2.0728          86
0.2371    2.0721          87
0.2332    2.0714          88
0.2293    2.0707          89
0.2253    2.0701          90
0.2214    2.0694          91
0.2175    2.0687          92
0.2136    2.0680          93
0.2097    2.0673          94
0.2057    2.0666          95
0.2018    2.0659          96
0.1979    2.0652          97
0.1940    2.0645          98
0.1901    2.0638          99
0.1861    2.0631         100
0.1846    2.0631         101
0.1830    2.0630         102
0.1814    2.0630         103
0.1798    2.0629         104
0.1783    2.0629         105
0.1767    2.0629         106
0.1751    2.0628         107
0.1735    2.0628         108
0.1720    2.0627         109
0.1704    2.0627         110
0.1688    2.0627         111
0.1672    2.0626         112
0.1656    2.0626         113
0.1641    2.0625         114
0.1625    2.0625         115
0.1609    2.0624         116
0.1593    2.0624         117
0.1578    2.0624         118
0.1562    2.0623         119
0.1546    2.0623         120
0.1530    2.0622         121
0.1514    2.0622         122
0.1499    2.0622         123
0.1483    2.0621         124
0.1467    2.0621         125
0.1451    2.0620         126
0.1435    2.0620         127
0.1420    2.0620         128
0.1404    2.0619         129
0.1388    2.0619         130
0.1372    2.0618         131
0.1357    2.0618         132
0.1341    2.0618         133
0.1325    2.0617         134
0.1309    2.0617         135
0.1293    2.0616         136
0.1278    2.0616         137
0.1262    2.0616         138
0.1246    2.0615         139
0.1230    2.0615         140
0.1214    2.0614         141
0.1199    2.0614         142
0.1183    2.0613         143
0.1167    2.0613         144
0.1151    2.0613         145
0.1135    2.0612         146
0.1120    2.0612         147
0.1104    2.0611         148
0.1088    2.0611         149
0.1072    2.0611         150
0.1056    2.0610         151
0.1041    2.0610         152
0.1025    2.0609         153
0.1009    2.0609         154
0.0993    2.0609         155
0.0977    2.0608         156
0.0962    2.0608         157
0.0946    2.0607         158
0.0930    2.0607         159
0.0914    2.0607         160
0.0898    2.0606         161
0.0883    2.0606         162
0.0867    2.0605         163
