 #m    m2    m4    e    e2    cv    xi    T
  9.577671E-05      3.417455E-04      3.517319E-07     -3.307802E-01      1.097689E-01      1.287707E-01      3.464352E-01      2.782000E+00
 -6.858604E-05      3.431224E-04      3.569649E-07     -3.342196E-01      1.120610E-01      1.332124E-01      3.513721E-01      2.754000E+00
  4.448909E-05      3.475832E-04      3.644551E-07     -3.380033E-01      1.146008E-01      1.345438E-01      3.595991E-01      2.726000E+00
 -1.207625E-05      3.480970E-04      3.629600E-07     -3.417269E-01      1.171366E-01      1.392168E-01      3.638700E-01      2.698000E+00
  2.047547E-05      3.565858E-04      3.820810E-07     -3.456433E-01      1.198260E-01      1.411224E-01      3.766521E-01      2.670000E+00
 -3.048577E-06      3.565379E-04      3.828118E-07     -3.496038E-01      1.225839E-01      1.459171E-01      3.805932E-01      2.642000E+00
  2.129490E-05      3.609974E-04      3.881192E-07     -3.539273E-01      1.256278E-01      1.499190E-01      3.894807E-01      2.614000E+00
  2.837816E-05      3.690506E-04      4.097635E-07     -3.579452E-01      1.284865E-01      1.525780E-01      4.024802E-01      2.586000E+00
 -9.995722E-05      3.696060E-04      4.091904E-07     -3.625318E-01      1.317954E-01      1.577856E-01      4.074880E-01      2.558000E+00
 -2.343377E-05      3.762887E-04      4.288929E-07     -3.667849E-01      1.348964E-01      1.608991E-01      4.194577E-01      2.530000E+00
 -4.716267E-05      3.788245E-04      4.324483E-07     -3.712678E-01      1.382092E-01      1.664377E-01      4.270083E-01      2.502000E+00
 -7.313808E-05      3.841921E-04      4.410911E-07     -3.760471E-01      1.417787E-01      1.692501E-01      4.379562E-01      2.474000E+00
 -1.769425E-05      3.907545E-04      4.600039E-07     -3.808369E-01      1.454052E-01      1.736825E-01      4.505419E-01      2.446000E+00
 -1.172973E-04      3.953088E-04      4.689988E-07     -3.854496E-01      1.489441E-01      1.797516E-01      4.610554E-01      2.418000E+00
 -8.409629E-06      4.019715E-04      4.825019E-07     -3.907360E-01      1.530465E-01      1.836325E-01      4.743352E-01      2.390000E+00
 -5.622854E-05      4.101482E-04      5.067157E-07     -3.959033E-01      1.571119E-01      1.882752E-01      4.897176E-01      2.362000E+00
  2.009700E-05      4.139945E-04      5.151788E-07     -4.011859E-01      1.613210E-01      1.920155E-01      5.002434E-01      2.334000E+00
  6.793675E-05      4.220411E-04      5.377581E-07     -4.068024E-01      1.658631E-01      1.988671E-01      5.161534E-01      2.306000E+00
 -3.111077E-05      4.279948E-04      5.461892E-07     -4.122550E-01      1.703311E-01      2.048320E-01      5.298731E-01      2.278000E+00
  1.363527E-05      4.330694E-04      5.628342E-07     -4.179451E-01      1.750566E-01      2.108505E-01      5.428288E-01      2.250000E+00
 -3.643710E-05      4.400142E-04      5.822378E-07     -4.241651E-01      1.802984E-01      2.183989E-01      5.584823E-01      2.222000E+00
  8.624210E-05      4.512663E-04      6.069122E-07     -4.304277E-01      1.856521E-01      2.250281E-01      5.800657E-01      2.194000E+00
  4.513144E-05      4.555295E-04      6.189135E-07     -4.366998E-01      1.910906E-01      2.307889E-01      5.931222E-01      2.166000E+00
 -3.961414E-05      4.661408E-04      6.492014E-07     -4.432166E-01      1.968304E-01      2.402894E-01      6.148879E-01      2.138000E+00
  3.446489E-05      4.796735E-04      6.952254E-07     -4.500330E-01      2.029183E-01      2.461511E-01      6.411361E-01      2.110000E+00
  9.904751E-05      4.875193E-04      7.129684E-07     -4.573523E-01      2.095671E-01      2.576200E-01      6.603747E-01      2.082000E+00
 -9.511005E-05      4.998311E-04      7.538738E-07     -4.644468E-01      2.161106E-01      2.671878E-01      6.862827E-01      2.054000E+00
 -2.013867E-07      5.124799E-04      7.868281E-07     -4.716887E-01      2.228869E-01      2.725741E-01      7.133875E-01      2.026000E+00
  6.148543E-05      5.236838E-04      8.124788E-07     -4.796146E-01      2.304321E-01      2.839819E-01      7.391942E-01      1.998000E+00
 -1.467831E-04      5.359649E-04      8.562300E-07     -4.874656E-01      2.380243E-01      2.918045E-01      7.672568E-01      1.970000E+00
 -1.037627E-04      5.506661E-04      9.061154E-07     -4.958584E-01      2.462845E-01      3.058628E-01      7.996845E-01      1.942000E+00
 -1.326027E-05      5.641320E-04      9.598263E-07     -5.044111E-01      2.548425E-01      3.170916E-01      8.312406E-01      1.914000E+00
  5.597160E-06      5.784108E-04      9.978197E-07     -5.135613E-01      2.641588E-01      3.279085E-01      8.649335E-01      1.886000E+00
 -1.387936E-04      5.929845E-04      1.054385E-06     -5.228668E-01      2.738084E-01      3.420816E-01      9.000603E-01      1.858000E+00
  2.994758E-05      6.162260E-04      1.142475E-06     -5.323173E-01      2.837829E-01      3.547712E-01      9.496779E-01      1.830000E+00
  1.374638E-05      6.393178E-04      1.231300E-06     -5.425365E-01      2.947726E-01      3.706491E-01      1.000576E+00      1.802000E+00
 -2.387092E-04      6.590766E-04      1.307494E-06     -5.529280E-01      3.061620E-01      3.876831E-01      1.047690E+00      1.774000E+00
  1.658662E-05      6.763456E-04      1.393436E-06     -5.639742E-01      3.184996E-01      4.002911E-01      1.092477E+00      1.746000E+00
  3.716973E-05      7.024138E-04      1.496657E-06     -5.750403E-01      3.311127E-01      4.216506E-01      1.153074E+00      1.718000E+00
  1.098495E-04      7.423752E-04      1.649622E-06     -5.873471E-01      3.454192E-01      4.369891E-01      1.238847E+00      1.690000E+00
 -1.099259E-04      7.722664E-04      1.767382E-06     -5.995800E-01      3.599494E-01      4.627875E-01      1.310441E+00      1.662000E+00
  8.937401E-06      8.119471E-04      1.970823E-06     -6.127879E-01      3.759618E-01      4.782477E-01      1.401405E+00      1.634000E+00
  2.196330E-04      8.422252E-04      2.144737E-06     -6.263969E-01      3.928354E-01      5.055179E-01      1.478924E+00      1.606000E+00
 -5.030847E-05      8.906728E-04      2.380876E-06     -6.406711E-01      4.109305E-01      5.334478E-01      1.591835E+00      1.578000E+00
  3.673223E-05      9.360895E-04      2.597828E-06     -6.560901E-01      4.309344E-01      5.636533E-01      1.703229E+00      1.550000E+00
  3.115938E-05      1.001947E-03      3.006869E-06     -6.716709E-01      4.516251E-01      5.883177E-01      1.856597E+00      1.522000E+00
  2.776566E-04      1.073876E-03      3.429060E-06     -6.886138E-01      4.746858E-01      6.277268E-01      2.027030E+00      1.494000E+00
  1.836195E-04      1.129073E-03      3.831051E-06     -7.064364E-01      4.995609E-01      6.673737E-01      2.172017E+00      1.466000E+00
  9.328021E-05      1.242784E-03      4.624716E-06     -7.251993E-01      5.264305E-01      7.043295E-01      2.437372E+00      1.438000E+00
  2.937467E-06      1.333044E-03      5.296368E-06     -7.450947E-01      5.556879E-01      7.402310E-01      2.666327E+00      1.410000E+00
  4.262453E-04      1.458796E-03      6.331227E-06     -7.666252E-01      5.882473E-01      7.871676E-01      2.976601E+00      1.382000E+00
  2.853857E-04      1.591296E-03      7.581792E-06     -7.894076E-01      6.237185E-01      8.522736E-01      3.314348E+00      1.354000E+00
 -5.554556E-04      1.787723E-03      9.474961E-06     -8.137703E-01      6.627923E-01      9.145163E-01      3.801630E+00      1.326000E+00
 -1.195230E-04      2.008763E-03      1.202669E-05     -8.400110E-01      7.062106E-01      9.912447E-01      4.364545E+00      1.298000E+00
 -2.461952E-04      2.316512E-03      1.611064E-05     -8.680638E-01      7.541414E-01      1.060871E+00      5.144078E+00      1.270000E+00
  2.208031E-04      2.680592E-03      2.136897E-05     -8.987024E-01      8.082970E-01      1.153525E+00      6.086804E+00      1.242000E+00
  1.649666E-03      3.183570E-03      2.979511E-05     -9.321157E-01      8.695024E-01      1.268123E+00      7.389454E+00      1.214000E+00
  4.949008E-04      3.890957E-03      4.552324E-05     -9.687404E-01      9.391515E-01      1.390392E+00      9.251934E+00      1.186000E+00
  3.471420E-04      4.951315E-03      7.291967E-05     -1.009358E+00      1.019540E+00      1.546323E+00      1.205840E+01      1.158000E+00
 -2.933301E-05      6.641208E-03      1.294690E-04     -1.053961E+00      1.111629E+00      1.756206E+00      1.657512E+01      1.130000E+00
  5.712992E-04      9.480637E-03      2.686464E-04     -1.105705E+00      1.223438E+00      1.986169E+00      2.426214E+01      1.102000E+00
  1.839636E-03      1.639423E-02      7.902834E-04     -1.164492E+00      1.356996E+00      2.332159E+00      4.304127E+01      1.074000E+00
 -2.086980E-03      3.378886E-02      3.050612E-03     -1.235022E+00      1.526384E+00      2.850063E+00      9.109069E+01      1.046000E+00
  3.354536E-02      1.360940E-01      3.345165E-02     -1.329994E+00      1.770465E+00      4.303831E+00      3.739153E+02      1.018000E+00
 -4.511926E-02      4.638485E-01      2.325189E-01     -1.466631E+00      2.152655E+00      4.745330E+00      1.315585E+03      9.900000E-01
 -8.040871E-01      6.478022E-01      4.226433E-01     -1.568824E+00      2.462224E+00      3.093090E+00      3.653242E+00      9.620000E-01
 -8.569864E-01      7.348545E-01      5.412215E-01     -1.642494E+00      2.698548E+00      2.460008E+00      1.294870E+00      9.340000E-01
 -8.901347E-01      7.925472E-01      6.287614E-01     -1.701586E+00      2.895986E+00      2.027257E+00      6.457149E-01      9.060000E-01
 -9.137013E-01      8.349733E-01      6.975670E-01     -1.750877E+00      3.066046E+00      1.743080E+00      3.960798E-01      8.780000E-01
 -9.316294E-01      8.680142E-01      7.537034E-01     -1.792833E+00      3.214635E+00      1.507788E+00      2.682602E-01      8.500000E-01
 -9.455012E-01      8.940297E-01      7.994661E-01     -1.828177E+00      3.342550E+00      1.323509E+00      1.958846E-01      8.220000E-01
 -9.566239E-01      9.151718E-01      8.376669E-01     -1.858595E+00      3.454639E+00      1.176245E+00      1.509770E-01      7.940000E-01
 -9.654676E-01      9.321608E-01      8.690181E-01     -1.884308E+00      3.550835E+00      1.048764E+00      1.218511E-01      7.660000E-01
 -9.727766E-01      9.463207E-01      8.955931E-01     -1.906485E+00      3.634864E+00      9.327001E-01      1.010603E-01      7.380000E-01
 -9.787100E-01      9.578953E-01      9.176174E-01     -1.925290E+00      3.706893E+00      8.433066E-01      8.765462E-02      7.100000E-01
 -9.834952E-01      9.672818E-01      9.356759E-01     -1.941008E+00      3.767637E+00      7.653898E-01      7.815909E-02      6.820000E-01
 -9.873843E-01      9.749443E-01      9.505497E-01     -1.954155E+00      3.818830E+00      7.050284E-01      7.174525E-02      6.540000E-01
 -9.905070E-01      9.811191E-01      9.626214E-01     -1.964993E+00      3.861288E+00      6.570546E-01      6.761995E-02      6.260000E-01
 -9.929880E-01      9.860391E-01      9.722952E-01     -1.973817E+00      3.896032E+00      6.226993E-01      6.524112E-02      5.980000E-01
 -9.949400E-01      9.899186E-01      9.799576E-01     -1.980895E+00      3.924014E+00      6.025127E-01      6.426373E-02      5.700000E-01
 -9.964468E-01      9.929186E-01      9.859036E-01     -1.986453E+00      3.946056E+00      5.940971E-01      6.436212E-02      5.420000E-01
 -9.975717E-01      9.951611E-01      9.903602E-01     -1.990665E+00      3.962803E+00      6.009957E-01      6.549493E-02      5.140000E-01
 -9.984006E-01      9.968154E-01      9.936542E-01     -1.993813E+00      3.975343E+00      6.232515E-01      6.751600E-02      4.860000E-01
 -9.989907E-01      9.979938E-01      9.960041E-01     -1.996079E+00      3.984381E+00      6.629143E-01      7.039246E-02      4.580000E-01
 -9.993985E-01      9.988087E-01      9.976307E-01     -1.997658E+00      3.990686E+00      7.216625E-01      7.408601E-02      4.300000E-01
