 #m    m2    m4    e    e2    cv    xi    T
  9.523351E-05      2.401255E-03      1.725119E-05     -3.305439E-01      1.117922E-01      1.297941E-01      3.423182E-01      2.782000E+00
 -4.918464E-05      2.416691E-03      1.758049E-05     -3.343638E-01      1.143297E-01      1.323239E-01      3.480225E-01      2.754000E+00
 -1.676771E-04      2.460517E-03      1.804933E-05     -3.384834E-01      1.171127E-01      1.356508E-01      3.579696E-01      2.726000E+00
  3.404900E-05      2.496038E-03      1.871002E-05     -3.411707E-01      1.189235E-01      1.376300E-01      3.669101E-01      2.698000E+00
 -5.999933E-06      2.505804E-03      1.879775E-05     -3.454430E-01      1.219076E-01      1.433507E-01      3.722087E-01      2.670000E+00
 -2.874042E-05      2.538065E-03      1.922471E-05     -3.491136E-01      1.244487E-01      1.459304E-01      3.809960E-01      2.642000E+00
 -1.513563E-05      2.571688E-03      1.995850E-05     -3.538560E-01      1.277527E-01      1.473426E-01      3.901784E-01      2.614000E+00
 -8.261637E-05      2.595085E-03      2.023522E-05     -3.583156E-01      1.309457E-01      1.515632E-01      3.979903E-01      2.586000E+00
  5.790059E-05      2.622452E-03      2.049672E-05     -3.626437E-01      1.340641E-01      1.547774E-01      4.065903E-01      2.558000E+00
  1.819733E-05      2.673907E-03      2.147594E-05     -3.663718E-01      1.368201E-01      1.605864E-01      4.191565E-01      2.530000E+00
 -6.777702E-05      2.671813E-03      2.156913E-05     -3.717935E-01      1.408248E-01      1.643605E-01      4.235148E-01      2.502000E+00
 -1.584674E-04      2.747319E-03      2.271656E-05     -3.762777E-01      1.441817E-01      1.682605E-01      4.404089E-01      2.474000E+00
  3.265396E-04      2.769912E-03      2.295692E-05     -3.810548E-01      1.478108E-01      1.728810E-01      4.491004E-01      2.446000E+00
  1.042458E-04      2.829315E-03      2.406040E-05     -3.852357E-01      1.510333E-01      1.781775E-01      4.640598E-01      2.418000E+00
  3.954524E-04      2.829562E-03      2.394625E-05     -3.905552E-01      1.551866E-01      1.842180E-01      4.695132E-01      2.390000E+00
  6.202400E-05      2.880905E-03      2.483534E-05     -3.957508E-01      1.592581E-01      1.876271E-01      4.837256E-01      2.362000E+00
 -1.509860E-04      2.963292E-03      2.614824E-05     -4.008107E-01      1.633117E-01      1.938381E-01      5.035248E-01      2.334000E+00
 -1.379244E-04      2.961899E-03      2.620013E-05     -4.067024E-01      1.680684E-01      1.985011E-01      5.093997E-01      2.306000E+00
 -9.915939E-05      3.037885E-03      2.763531E-05     -4.123704E-01      1.727434E-01      2.058932E-01      5.288918E-01      2.278000E+00
  1.598501E-04      3.091097E-03      2.868391E-05     -4.179884E-01      1.774046E-01      2.107588E-01      5.448501E-01      2.250000E+00
  3.264655E-04      3.141453E-03      2.962346E-05     -4.240895E-01      1.825392E-01      2.158639E-01      5.606894E-01      2.222000E+00
  5.478951E-05      3.217236E-03      3.086346E-05     -4.301624E-01      1.877551E-01      2.237199E-01      5.815626E-01      2.194000E+00
  4.278965E-05      3.249543E-03      3.131031E-05     -4.365826E-01      1.933423E-01      2.314545E-01      5.949961E-01      2.166000E+00
  1.312825E-04      3.367426E-03      3.368357E-05     -4.434504E-01      1.993623E-01      2.354761E-01      6.246529E-01      2.138000E+00
 -4.488839E-05      3.374186E-03      3.447118E-05     -4.497639E-01      2.050569E-01      2.466940E-01      6.342155E-01      2.110000E+00
  1.065173E-04      3.451960E-03      3.566520E-05     -4.566573E-01      2.113149E-01      2.542584E-01      6.575581E-01      2.082000E+00
 -5.111054E-06      3.535081E-03      3.730965E-05     -4.639200E-01      2.180069E-01      2.618114E-01      6.825737E-01      2.054000E+00
  1.567390E-04      3.644406E-03      3.958224E-05     -4.720065E-01      2.256105E-01      2.725055E-01      7.134030E-01      2.026000E+00
 -7.143131E-05      3.691299E-03      4.077552E-05     -4.793285E-01      2.326011E-01      2.826751E-01      7.327128E-01      1.998000E+00
 -1.765412E-04      3.844307E-03      4.386365E-05     -4.879605E-01      2.409587E-01      2.915887E-01      7.739251E-01      1.970000E+00
  2.505651E-04      3.895171E-03      4.553879E-05     -4.960766E-01      2.489716E-01      3.028223E-01      7.954647E-01      1.942000E+00
  1.154802E-04      4.006983E-03      4.753607E-05     -5.046570E-01      2.575632E-01      3.122793E-01      8.302803E-01      1.914000E+00
 -1.508625E-05      4.117457E-03      5.086506E-05     -5.139145E-01      2.670491E-01      3.279144E-01      8.658406E-01      1.886000E+00
  1.207888E-04      4.235997E-03      5.350433E-05     -5.221014E-01      2.755206E-01      3.366966E-01      9.041887E-01      1.858000E+00
  3.230581E-04      4.364174E-03      5.702177E-05     -5.327085E-01      2.867372E-01      3.504085E-01      9.457823E-01      1.830000E+00
 -7.360412E-05      4.566878E-03      6.184511E-05     -5.428235E-01      2.976548E-01      3.660873E-01      1.005113E+00      1.802000E+00
  2.093063E-04      4.743562E-03      6.626348E-05     -5.531020E-01      3.089595E-01      3.828181E-01      1.060468E+00      1.774000E+00
 -4.475753E-04      4.838240E-03      6.949513E-05     -5.635581E-01      3.206858E-01      4.017445E-01      1.098945E+00      1.746000E+00
  2.540959E-04      5.060526E-03      7.638871E-05     -5.754864E-01      3.342652E-01      4.139489E-01      1.168201E+00      1.718000E+00
  3.014287E-04      5.276057E-03      8.317664E-05     -5.869960E-01      3.477193E-01      4.381041E-01      1.238129E+00      1.690000E+00
  1.914053E-04      5.487492E-03      8.924247E-05     -6.001428E-01      3.633323E-01      4.538521E-01      1.309455E+00      1.662000E+00
 -1.938250E-05      5.757590E-03      9.881573E-05     -6.128565E-01      3.788168E-01      4.788569E-01      1.397460E+00      1.634000E+00
  1.323689E-04      5.983781E-03      1.077195E-04     -6.264403E-01      3.956862E-01      5.010702E-01      1.477677E+00      1.606000E+00
 -2.681452E-04      6.385759E-03      1.224068E-04     -6.403284E-01      4.133590E-01      5.317220E-01      1.604912E+00      1.578000E+00
 -3.558479E-04      6.722823E-03      1.335213E-04     -6.562216E-01      4.339773E-01      5.530974E-01      1.720134E+00      1.550000E+00
  5.446606E-04      7.171484E-03      1.516145E-04     -6.715484E-01      4.544242E-01      5.901454E-01      1.868646E+00      1.522000E+00
