 #m    m2    m4    e    e2    cv    xi    T
 -1.322208E-04      2.156744E-02      1.372686E-03     -3.305061E-01      1.320131E-01      1.296953E-01      3.416246E-01      2.782000E+00
 -2.313308E-04      2.180174E-02      1.389248E-03     -3.322399E-01      1.329786E-01      1.312800E-01      3.488465E-01      2.754000E+00
  4.879946E-04      2.218809E-02      1.441336E-03     -3.390767E-01      1.377429E-01      1.350264E-01      3.586720E-01      2.726000E+00
  5.211053E-04      2.247724E-02      1.477124E-03     -3.418318E-01      1.397981E-01      1.389283E-01      3.671165E-01      2.698000E+00
 -2.488861E-04      2.261692E-02      1.488815E-03     -3.463433E-01      1.426322E-01      1.401848E-01      3.732752E-01      2.670000E+00
 -3.359963E-04      2.292505E-02      1.533849E-03     -3.513277E-01      1.462910E-01      1.443164E-01      3.823697E-01      2.642000E+00
  1.331096E-04      2.311359E-02      1.541778E-03     -3.545027E-01      1.487244E-01      1.486652E-01      3.896454E-01      2.614000E+00
  1.375540E-04      2.345391E-02      1.594239E-03     -3.580329E-01      1.512756E-01      1.521381E-01      3.996635E-01      2.586000E+00
  4.006622E-04      2.355944E-02      1.601208E-03     -3.617111E-01      1.539713E-01      1.558127E-01      4.058537E-01      2.558000E+00
  7.644360E-05      2.409123E-02      1.695759E-03     -3.665293E-01      1.575597E-01      1.598289E-01      4.196107E-01      2.530000E+00
  3.022189E-05      2.401116E-02      1.681194E-03     -3.707794E-01      1.609455E-01      1.652008E-01      4.228962E-01      2.502000E+00
  7.088810E-05      2.450102E-02      1.742392E-03     -3.761340E-01      1.649136E-01      1.687356E-01      4.364078E-01      2.474000E+00
  3.304408E-04      2.497358E-02      1.819633E-03     -3.808402E-01      1.686055E-01      1.735739E-01      4.499150E-01      2.446000E+00
  4.064399E-04      2.544181E-02      1.882358E-03     -3.858148E-01      1.724699E-01      1.779987E-01      4.636572E-01      2.418000E+00
  2.084421E-04      2.569706E-02      1.919339E-03     -3.924668E-01      1.778003E-01      1.833770E-01      4.737976E-01      2.390000E+00
  9.133232E-05      2.588086E-02      1.945849E-03     -3.969725E-01      1.812468E-01      1.868774E-01      4.828440E-01      2.362000E+00
  2.122199E-04      2.651626E-02      2.048055E-03     -4.012484E-01      1.849476E-01      1.937147E-01      5.006322E-01      2.334000E+00
 -7.368807E-04      2.684988E-02      2.098040E-03     -4.076808E-01      1.903057E-01      1.997304E-01      5.130768E-01      2.306000E+00
  4.266619E-04      2.735698E-02      2.164682E-03     -4.130745E-01      1.947082E-01      2.044632E-01      5.291997E-01      2.278000E+00
  5.511050E-05      2.789032E-02      2.253044E-03     -4.184105E-01      1.993552E-01      2.114137E-01      5.462344E-01      2.250000E+00
