 #m    m2    m4    e    e2    T
  1.000000E+00      1.000000E+00      1.000000E+00     -2.000000E+00      0.000000E+00      1.000000E-02
  1.001100E-02      1.234540E-09      1.525462E-20     -1.999978E-02      4.444346E-09      1.000000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.130000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.260000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.390000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.520000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.650000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.780000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      1.910000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.040000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.170000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.300000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.430000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.560000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.690000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.820000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      2.950000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.080000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.210000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.340000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.470000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.600000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.730000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.860000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      3.990000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.120000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.250000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.380000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.510000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.640000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.770000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      4.900000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.030000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.160000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.290000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.420000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.550000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.680000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.810000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      5.940000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.070000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.200000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.330000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.460000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.590000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.720000E-02
  9.999889E-03      1.111086E-09      1.371681E-23     -1.999978E-02      4.444346E-09      6.850000E-02
